agent_action;agent_location;human_action;human_location;world_nr;tick_nr
MoveWest;(27, 17);;(8, 7);1;133
MoveWest;(27, 17);;(8, 7);1;134
MoveWest;(26, 17);;(8, 7);1;135
MoveWest;(26, 17);;(8, 7);1;136
MoveWest;(26, 17);;(8, 7);1;137
MoveWest;(26, 17);;(8, 7);1;138
MoveWest;(26, 17);;(8, 7);1;139
MoveWest;(26, 17);;(8, 7);1;140
MoveWest;(25, 17);MoveEast;(8, 7);1;141
MoveWest;(25, 17);MoveEast;(8, 7);1;142
MoveWest;(25, 17);;(8, 7);1;143
MoveWest;(25, 17);;(8, 7);1;144
MoveWest;(25, 17);;(8, 7);1;145
MoveWest;(25, 17);MoveSouth;(8, 7);1;146
MoveWest;(24, 17);MoveSouth;(8, 8);1;147
;(24, 17);;(8, 8);1;148
;(24, 17);MoveSouth;(8, 8);1;149
;(24, 17);MoveSouth;(8, 9);1;150
;(24, 17);;(8, 9);1;151
;(24, 17);MoveSouth;(8, 9);1;152
;(24, 17);MoveSouth;(8, 10);1;153
;(24, 17);;(8, 10);1;154
;(24, 17);;(8, 10);1;155
;(24, 17);;(8, 10);1;156
;(24, 17);;(8, 10);1;157
;(24, 17);MoveEast;(8, 10);1;158
;(24, 17);MoveEast;(9, 10);1;159
;(24, 17);;(9, 10);1;160
;(24, 17);;(9, 10);1;161
;(24, 17);MoveEast;(9, 10);1;162
;(24, 17);MoveEast;(10, 10);1;163
;(24, 17);;(10, 10);1;164
;(24, 17);MoveEast;(10, 10);1;165
;(24, 17);MoveEast;(11, 10);1;166
;(24, 17);;(11, 10);1;167
;(24, 17);MoveEast;(11, 10);1;168
;(24, 17);MoveEast;(12, 10);1;169
;(24, 17);;(12, 10);1;170
;(24, 17);MoveEast;(12, 10);1;171
;(24, 17);MoveEast;(13, 10);1;172
;(24, 17);;(13, 10);1;173
;(24, 17);MoveEast;(13, 10);1;174
;(24, 17);MoveEast;(13, 10);1;175
;(24, 17);;(13, 10);1;176
;(24, 17);;(13, 10);1;177
;(24, 17);;(13, 10);1;178
;(24, 17);;(13, 10);1;179
;(24, 17);;(13, 10);1;180
;(24, 17);;(13, 10);1;181
;(24, 17);;(13, 10);1;182
;(24, 17);;(13, 10);1;183
;(24, 17);;(13, 10);1;184
;(24, 17);;(13, 10);1;185
;(24, 17);;(13, 10);1;186
;(24, 17);;(13, 10);1;187
;(24, 17);;(13, 10);1;188
;(24, 17);;(13, 10);1;189
;(24, 17);;(13, 10);1;190
;(24, 17);;(13, 10);1;191
;(24, 17);;(13, 10);1;192
;(24, 17);;(13, 10);1;193
;(24, 17);;(13, 10);1;194
;(24, 17);;(13, 10);1;195
;(24, 17);;(13, 10);1;196
;(24, 17);;(13, 10);1;197
;(24, 17);;(13, 10);1;198
;(24, 17);;(13, 10);1;199
;(24, 17);;(13, 10);1;200
;(24, 17);;(13, 10);1;201
RemoveObject;(24, 17);;(13, 10);1;202
RemoveObject;(24, 17);;(13, 10);1;203
RemoveObject;(24, 17);;(13, 10);1;204
RemoveObject;(24, 17);;(13, 10);1;205
RemoveObject;(24, 17);;(13, 10);1;206
RemoveObject;(24, 17);;(13, 10);1;207
RemoveObject;(24, 17);;(13, 10);1;208
RemoveObject;(24, 17);;(13, 10);1;209
RemoveObject;(24, 17);;(13, 10);1;210
RemoveObject;(24, 17);;(13, 10);1;211
RemoveObject;(24, 17);;(13, 10);1;212
RemoveObject;(24, 17);;(13, 10);1;213
RemoveObject;(24, 17);;(13, 10);1;214
RemoveObject;(24, 17);;(13, 10);1;215
RemoveObject;(24, 17);;(13, 10);1;216
RemoveObject;(24, 17);;(13, 10);1;217
RemoveObject;(24, 17);;(13, 10);1;218
RemoveObject;(24, 17);;(13, 10);1;219
RemoveObject;(24, 17);;(13, 10);1;220
RemoveObject;(24, 17);;(13, 10);1;221
RemoveObject;(24, 17);;(13, 10);1;222
RemoveObject;(24, 17);;(13, 10);1;223
RemoveObject;(24, 17);;(13, 10);1;224
RemoveObject;(24, 17);;(13, 10);1;225
RemoveObject;(24, 17);;(13, 10);1;226
RemoveObject;(24, 17);;(13, 10);1;227
RemoveObject;(24, 17);;(13, 10);1;228
RemoveObject;(24, 17);;(13, 10);1;229
RemoveObject;(24, 17);;(13, 10);1;230
RemoveObject;(24, 17);;(13, 10);1;231
RemoveObject;(24, 17);;(13, 10);1;232
