agent_action;agent_location;agentnr_victims;human_action;human_location;humannr_victims;world_nr;tick_nr
MoveNorth;(28, 26);0;;(1, 5);0;1;61
MoveNorth;(28, 26);0;MoveSouth;(1, 5);0;1;62
MoveNorth;(28, 26);0;MoveSouth;(1, 6);0;1;63
MoveNorth;(28, 26);0;;(1, 6);0;1;64
MoveNorth;(28, 26);0;;(1, 6);0;1;65
MoveNorth;(28, 25);0;MoveEast;(1, 6);0;1;66
MoveNorth;(28, 25);0;MoveEast;(2, 6);0;1;67
MoveNorth;(28, 25);0;;(2, 6);0;1;68
MoveNorth;(28, 25);0;MoveEast;(2, 6);0;1;69
MoveNorth;(28, 25);0;MoveEast;(3, 6);0;1;70
MoveNorth;(28, 25);0;;(3, 6);0;1;71
MoveNorth;(28, 25);0;MoveEast;(3, 6);0;1;72
MoveNorth;(28, 25);0;MoveEast;(4, 6);0;1;73
MoveNorth;(28, 24);0;MoveEast;(4, 6);0;1;74
MoveNorth;(28, 24);0;MoveEast;(5, 6);0;1;75
MoveNorth;(28, 24);0;;(5, 6);0;1;76
MoveNorth;(28, 24);0;MoveEast;(5, 6);0;1;77
MoveNorth;(28, 24);0;MoveEast;(6, 6);0;1;78
MoveNorth;(28, 24);0;;(6, 6);0;1;79
MoveNorth;(28, 24);0;;(6, 6);0;1;80
MoveNorth;(28, 24);0;MoveSouth;(6, 6);0;1;81
MoveNorth;(28, 23);0;MoveSouth;(6, 6);0;1;82
MoveNorth;(28, 23);0;;(6, 6);0;1;83
MoveNorth;(28, 23);0;MoveSouth;(6, 6);0;1;84
MoveNorth;(28, 23);0;MoveSouth;(6, 6);0;1;85
MoveNorth;(28, 23);0;;(6, 6);0;1;86
MoveNorth;(28, 23);0;MoveSouth;(6, 6);0;1;87
MoveNorth;(28, 23);0;MoveSouth;(6, 6);0;1;88
MoveNorth;(28, 23);0;;(6, 6);0;1;89
MoveNorth;(28, 22);0;MoveSouth;(6, 6);0;1;90
MoveNorth;(28, 22);0;MoveSouth;(6, 6);0;1;91
MoveNorth;(28, 22);0;;(6, 6);0;1;92
MoveNorth;(28, 22);0;MoveEast;(6, 6);0;1;93
MoveNorth;(28, 22);0;MoveEast;(7, 6);0;1;94
MoveNorth;(28, 22);0;;(7, 6);0;1;95
MoveNorth;(28, 22);0;;(7, 6);0;1;96
MoveNorth;(28, 22);0;;(7, 6);0;1;97
MoveNorth;(28, 21);0;MoveSouth;(7, 6);0;1;98
MoveNorth;(28, 21);0;MoveSouth;(7, 7);0;1;99
MoveNorth;(28, 21);0;;(7, 7);0;1;100
MoveNorth;(28, 21);0;;(7, 7);0;1;101
MoveNorth;(28, 21);0;MoveSouth;(7, 7);0;1;102
MoveNorth;(28, 21);0;MoveSouth;(7, 8);0;1;103
MoveNorth;(28, 21);0;;(7, 8);0;1;104
MoveNorth;(28, 21);0;MoveSouth;(7, 8);0;1;105
MoveNorth;(28, 20);0;MoveSouth;(7, 9);0;1;106
MoveNorth;(28, 20);0;;(7, 9);0;1;107
MoveNorth;(28, 20);0;MoveSouth;(7, 9);0;1;108
MoveNorth;(28, 20);0;MoveSouth;(7, 10);0;1;109
MoveNorth;(28, 20);0;;(7, 10);0;1;110
MoveNorth;(28, 20);0;MoveEast;(7, 10);0;1;111
MoveNorth;(28, 20);0;MoveEast;(8, 10);0;1;112
MoveNorth;(28, 20);0;;(8, 10);0;1;113
MoveNorth;(28, 19);0;;(8, 10);0;1;114
MoveNorth;(28, 19);0;MoveEast;(8, 10);0;1;115
MoveNorth;(28, 19);0;MoveEast;(9, 10);0;1;116
MoveNorth;(28, 19);0;;(9, 10);0;1;117
MoveNorth;(28, 19);0;MoveEast;(9, 10);0;1;118
MoveNorth;(28, 19);0;MoveEast;(10, 10);0;1;119
MoveNorth;(28, 19);0;;(10, 10);0;1;120
